State,Condition Group,Condition,Age Group,COVID-19 Deaths
United States,Respiratory diseases,Influenza and pneumonia,0-24,1569.0
United States,Respiratory diseases,Influenza and pneumonia,25-34,5804.0
United States,Respiratory diseases,Influenza and pneumonia,35-44,15080.0
United States,Respiratory diseases,Influenza and pneumonia,45-54,37414.0
United States,Respiratory diseases,Influenza and pneumonia,55-64,82668.0
United States,Respiratory diseases,Influenza and pneumonia,65-74,129005.0
United States,Respiratory diseases,Influenza and pneumonia,75-84,138503.0
United States,Respiratory diseases,Influenza and pneumonia,85+,121119.0
United States,Respiratory diseases,Influenza and pneumonia,Not stated,12.0
United States,Respiratory diseases,Influenza and pneumonia,All Ages,531174.0
United States,Respiratory diseases,Chronic lower respiratory diseases,0-24,207.0
United States,Respiratory diseases,Chronic lower respiratory diseases,25-34,459.0
United States,Respiratory diseases,Chronic lower respiratory diseases,35-44,1118.0
United States,Respiratory diseases,Chronic lower respiratory diseases,45-54,3286.0
United States,Respiratory diseases,Chronic lower respiratory diseases,55-64,12772.0
United States,Respiratory diseases,Chronic lower respiratory diseases,65-74,27920.0
United States,Respiratory diseases,Chronic lower respiratory diseases,75-84,36068.0
United States,Respiratory diseases,Chronic lower respiratory diseases,85+,27866.0
United States,Respiratory diseases,Chronic lower respiratory diseases,Not stated,1.0
United States,Respiratory diseases,Chronic lower respiratory diseases,All Ages,109697.0
United States,Respiratory diseases,Adult respiratory distress syndrome,0-24,485.0
United States,Respiratory diseases,Adult respiratory distress syndrome,25-34,1807.0
United States,Respiratory diseases,Adult respiratory distress syndrome,35-44,4728.0
United States,Respiratory diseases,Adult respiratory distress syndrome,45-54,11480.0
United States,Respiratory diseases,Adult respiratory distress syndrome,55-64,22949.0
United States,Respiratory diseases,Adult respiratory distress syndrome,65-74,30138.0
United States,Respiratory diseases,Adult respiratory distress syndrome,75-84,22814.0
United States,Respiratory diseases,Adult respiratory distress syndrome,85+,12246.0
United States,Respiratory diseases,Adult respiratory distress syndrome,Not stated,1.0
United States,Respiratory diseases,Adult respiratory distress syndrome,All Ages,106648.0
United States,Respiratory diseases,Respiratory failure,0-24,1049.0
United States,Respiratory diseases,Respiratory failure,25-34,4055.0
United States,Respiratory diseases,Respiratory failure,35-44,10875.0
United States,Respiratory diseases,Respiratory failure,45-54,28229.0
United States,Respiratory diseases,Respiratory failure,55-64,66066.0
United States,Respiratory diseases,Respiratory failure,65-74,108175.0
United States,Respiratory diseases,Respiratory failure,75-84,118914.0
United States,Respiratory diseases,Respiratory failure,85+,98964.0
United States,Respiratory diseases,Respiratory failure,Not stated,6.0
United States,Respiratory diseases,Respiratory failure,All Ages,436333.0
United States,Respiratory diseases,Respiratory arrest,0-24,83.0
United States,Respiratory diseases,Respiratory arrest,25-34,232.0
United States,Respiratory diseases,Respiratory arrest,35-44,542.0
United States,Respiratory diseases,Respiratory arrest,45-54,1286.0
United States,Respiratory diseases,Respiratory arrest,55-64,3007.0
United States,Respiratory diseases,Respiratory arrest,65-74,4940.0
United States,Respiratory diseases,Respiratory arrest,75-84,6211.0
United States,Respiratory diseases,Respiratory arrest,85+,7064.0
United States,Respiratory diseases,Respiratory arrest,Not stated,0.0
United States,Respiratory diseases,Respiratory arrest,All Ages,23365.0
United States,Respiratory diseases,Other diseases of the respiratory system,0-24,400.0
United States,Respiratory diseases,Other diseases of the respiratory system,25-34,801.0
United States,Respiratory diseases,Other diseases of the respiratory system,35-44,1864.0
United States,Respiratory diseases,Other diseases of the respiratory system,45-54,4352.0
United States,Respiratory diseases,Other diseases of the respiratory system,55-64,9597.0
United States,Respiratory diseases,Other diseases of the respiratory system,65-74,14918.0
United States,Respiratory diseases,Other diseases of the respiratory system,75-84,16527.0
United States,Respiratory diseases,Other diseases of the respiratory system,85+,14246.0
United States,Respiratory diseases,Other diseases of the respiratory system,Not stated,1.0
United States,Respiratory diseases,Other diseases of the respiratory system,All Ages,62706.0
United States,Circulatory diseases,Hypertensive diseases,0-24,105.0
United States,Circulatory diseases,Hypertensive diseases,25-34,903.0
United States,Circulatory diseases,Hypertensive diseases,35-44,3656.0
United States,Circulatory diseases,Hypertensive diseases,45-54,10676.0
United States,Circulatory diseases,Hypertensive diseases,55-64,27207.0
United States,Circulatory diseases,Hypertensive diseases,65-74,47240.0
United States,Circulatory diseases,Hypertensive diseases,75-84,58062.0
United States,Circulatory diseases,Hypertensive diseases,85+,65854.0
United States,Circulatory diseases,Hypertensive diseases,Not stated,6.0
United States,Circulatory diseases,Hypertensive diseases,All Ages,213709.0
United States,Circulatory diseases,Ischemic heart disease,0-24,33.0
United States,Circulatory diseases,Ischemic heart disease,25-34,289.0
United States,Circulatory diseases,Ischemic heart disease,35-44,1106.0
United States,Circulatory diseases,Ischemic heart disease,45-54,4131.0
United States,Circulatory diseases,Ischemic heart disease,55-64,13281.0
United States,Circulatory diseases,Ischemic heart disease,65-74,27901.0
United States,Circulatory diseases,Ischemic heart disease,75-84,39452.0
United States,Circulatory diseases,Ischemic heart disease,85+,41979.0
United States,Circulatory diseases,Ischemic heart disease,Not stated,6.0
United States,Circulatory diseases,Ischemic heart disease,All Ages,128178.0
United States,Circulatory diseases,Cardiac arrest,0-24,481.0
United States,Circulatory diseases,Cardiac arrest,25-34,1619.0
United States,Circulatory diseases,Cardiac arrest,35-44,4127.0
United States,Circulatory diseases,Cardiac arrest,45-54,10036.0
United States,Circulatory diseases,Cardiac arrest,55-64,21555.0
United States,Circulatory diseases,Cardiac arrest,65-74,32255.0
United States,Circulatory diseases,Cardiac arrest,75-84,33918.0
United States,Circulatory diseases,Cardiac arrest,85+,31486.0
United States,Circulatory diseases,Cardiac arrest,Not stated,1.0
United States,Circulatory diseases,Cardiac arrest,All Ages,135478.0
United States,Circulatory diseases,Cardiac arrhythmia,0-24,102.0
United States,Circulatory diseases,Cardiac arrhythmia,25-34,288.0
United States,Circulatory diseases,Cardiac arrhythmia,35-44,776.0
United States,Circulatory diseases,Cardiac arrhythmia,45-54,2458.0
United States,Circulatory diseases,Cardiac arrhythmia,55-64,7868.0
United States,Circulatory diseases,Cardiac arrhythmia,65-74,17754.0
United States,Circulatory diseases,Cardiac arrhythmia,75-84,28781.0
United States,Circulatory diseases,Cardiac arrhythmia,85+,35451.0
United States,Circulatory diseases,Cardiac arrhythmia,Not stated,0.0
United States,Circulatory diseases,Cardiac arrhythmia,All Ages,93478.0
United States,Circulatory diseases,Heart failure,0-24,79.0
United States,Circulatory diseases,Heart failure,25-34,315.0
United States,Circulatory diseases,Heart failure,35-44,904.0
United States,Circulatory diseases,Heart failure,45-54,2621.0
United States,Circulatory diseases,Heart failure,55-64,7940.0
United States,Circulatory diseases,Heart failure,65-74,17580.0
United States,Circulatory diseases,Heart failure,75-84,28739.0
United States,Circulatory diseases,Heart failure,85+,39642.0
United States,Circulatory diseases,Heart failure,Not stated,1.0
United States,Circulatory diseases,Heart failure,All Ages,97821.0
United States,Circulatory diseases,Cerebrovascular diseases,0-24,115.0
United States,Circulatory diseases,Cerebrovascular diseases,25-34,294.0
United States,Circulatory diseases,Cerebrovascular diseases,35-44,850.0
United States,Circulatory diseases,Cerebrovascular diseases,45-54,2425.0
United States,Circulatory diseases,Cerebrovascular diseases,55-64,6846.0
United States,Circulatory diseases,Cerebrovascular diseases,65-74,13219.0
United States,Circulatory diseases,Cerebrovascular diseases,75-84,17636.0
United States,Circulatory diseases,Cerebrovascular diseases,85+,20069.0
United States,Circulatory diseases,Cerebrovascular diseases,Not stated,1.0
United States,Circulatory diseases,Cerebrovascular diseases,All Ages,61455.0
United States,Circulatory diseases,Other diseases of the circulatory system,0-24,482.0
United States,Circulatory diseases,Other diseases of the circulatory system,25-34,1184.0
United States,Circulatory diseases,Other diseases of the circulatory system,35-44,2675.0
United States,Circulatory diseases,Other diseases of the circulatory system,45-54,6106.0
United States,Circulatory diseases,Other diseases of the circulatory system,55-64,13309.0
United States,Circulatory diseases,Other diseases of the circulatory system,65-74,20462.0
United States,Circulatory diseases,Other diseases of the circulatory system,75-84,23249.0
United States,Circulatory diseases,Other diseases of the circulatory system,85+,23574.0
United States,Circulatory diseases,Other diseases of the circulatory system,Not stated,1.0
United States,Circulatory diseases,Other diseases of the circulatory system,All Ages,91042.0
United States,Sepsis,Sepsis,0-24,425.0
United States,Sepsis,Sepsis,25-34,1389.0
United States,Sepsis,Sepsis,35-44,3867.0
United States,Sepsis,Sepsis,45-54,9886.0
United States,Sepsis,Sepsis,55-64,22137.0
United States,Sepsis,Sepsis,65-74,32651.0
United States,Sepsis,Sepsis,75-84,29455.0
United States,Sepsis,Sepsis,85+,19188.0
United States,Sepsis,Sepsis,Not stated,2.0
United States,Sepsis,Sepsis,All Ages,119000.0
United States,Malignant neoplasms,Malignant neoplasms,0-24,175.0
United States,Malignant neoplasms,Malignant neoplasms,25-34,298.0
United States,Malignant neoplasms,Malignant neoplasms,35-44,896.0
United States,Malignant neoplasms,Malignant neoplasms,45-54,2859.0
United States,Malignant neoplasms,Malignant neoplasms,55-64,9900.0
United States,Malignant neoplasms,Malignant neoplasms,65-74,19889.0
United States,Malignant neoplasms,Malignant neoplasms,75-84,21947.0
United States,Malignant neoplasms,Malignant neoplasms,85+,15705.0
United States,Malignant neoplasms,Malignant neoplasms,Not stated,0.0
United States,Malignant neoplasms,Malignant neoplasms,All Ages,71669.0
United States,Diabetes,Diabetes,0-24,289.0
United States,Diabetes,Diabetes,25-34,1252.0
United States,Diabetes,Diabetes,35-44,4295.0
United States,Diabetes,Diabetes,45-54,12297.0
United States,Diabetes,Diabetes,55-64,28768.0
United States,Diabetes,Diabetes,65-74,45930.0
United States,Diabetes,Diabetes,75-84,45442.0
United States,Diabetes,Diabetes,85+,30553.0
United States,Diabetes,Diabetes,Not stated,4.0
United States,Diabetes,Diabetes,All Ages,168830.0
United States,Obesity,Obesity,0-24,707.0
United States,Obesity,Obesity,25-34,2865.0
United States,Obesity,Obesity,35-44,5910.0
United States,Obesity,Obesity,45-54,9878.0
United States,Obesity,Obesity,55-64,13715.0
United States,Obesity,Obesity,65-74,12516.0
United States,Obesity,Obesity,75-84,6208.0
United States,Obesity,Obesity,85+,1520.0
United States,Obesity,Obesity,Not stated,2.0
United States,Obesity,Obesity,All Ages,53321.0
United States,Alzheimer disease,Alzheimer disease,0-24,0.0
United States,Alzheimer disease,Alzheimer disease,25-34,2.0
United States,Alzheimer disease,Alzheimer disease,35-44,3.0
United States,Alzheimer disease,Alzheimer disease,45-54,36.0
United States,Alzheimer disease,Alzheimer disease,55-64,321.0
United States,Alzheimer disease,Alzheimer disease,65-74,2425.0
United States,Alzheimer disease,Alzheimer disease,75-84,10476.0
United States,Alzheimer disease,Alzheimer disease,85+,22114.0
United States,Alzheimer disease,Alzheimer disease,Not stated,0.0
United States,Alzheimer disease,Alzheimer disease,All Ages,35377.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,0-24,0.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,25-34,2.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,35-44,12.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,45-54,98.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,55-64,1218.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,65-74,7913.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,75-84,28162.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,85+,55710.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,Not stated,2.0
United States,Vascular and unspecified dementia,Vascular and unspecified dementia,All Ages,93117.0
United States,Renal failure,Renal failure,0-24,273.0
United States,Renal failure,Renal failure,25-34,1204.0
United States,Renal failure,Renal failure,35-44,3392.0
United States,Renal failure,Renal failure,45-54,9191.0
United States,Renal failure,Renal failure,55-64,20667.0
United States,Renal failure,Renal failure,65-74,32952.0
United States,Renal failure,Renal failure,75-84,33928.0
United States,Renal failure,Renal failure,85+,28064.0
United States,Renal failure,Renal failure,Not stated,3.0
United States,Renal failure,Renal failure,All Ages,129674.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",0-24,424.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",25-34,863.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",35-44,1396.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",45-54,2256.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",55-64,4242.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",65-74,6315.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",75-84,7194.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",85+,8407.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",Not stated,4.0
United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events",All Ages,31101.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),0-24,2365.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),25-34,5402.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),35-44,12464.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),45-54,29174.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),55-64,68048.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),65-74,110640.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),75-84,126324.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),85+,123090.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),Not stated,14.0
United States,All other conditions and causes (residual),All other conditions and causes (residual),All Ages,477521.0
United States,COVID-19,COVID-19,0-24,4320.0
United States,COVID-19,COVID-19,25-34,12354.0
United States,COVID-19,COVID-19,35-44,30071.0
United States,COVID-19,COVID-19,45-54,71364.0
United States,COVID-19,COVID-19,55-64,159656.0
United States,COVID-19,COVID-19,65-74,256711.0
United States,COVID-19,COVID-19,75-84,300009.0
United States,COVID-19,COVID-19,85+,311734.0
United States,COVID-19,COVID-19,Not stated,23.0
United States,COVID-19,COVID-19,All Ages,1146242.0
Alabama,Respiratory diseases,Influenza and pneumonia,0-24,20.0
Alabama,Respiratory diseases,Influenza and pneumonia,25-34,103.0
Alabama,Respiratory diseases,Influenza and pneumonia,35-44,231.0
Alabama,Respiratory diseases,Influenza and pneumonia,45-54,548.0
Alabama,Respiratory diseases,Influenza and pneumonia,55-64,1193.0
Alabama,Respiratory diseases,Influenza and pneumonia,65-74,1824.0
Alabama,Respiratory diseases,Influenza and pneumonia,75-84,1878.0
Alabama,Respiratory diseases,Influenza and pneumonia,85+,1220.0
Alabama,Respiratory diseases,Influenza and pneumonia,Not stated,0.0
Alabama,Respiratory diseases,Influenza and pneumonia,All Ages,7017.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,0-24,0.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,25-34,
Alabama,Respiratory diseases,Chronic lower respiratory diseases,35-44,14.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,45-54,46.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,55-64,255.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,65-74,515.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,75-84,559.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,85+,305.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,Not stated,0.0
Alabama,Respiratory diseases,Chronic lower respiratory diseases,All Ages,1699.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,0-24,
Alabama,Respiratory diseases,Adult respiratory distress syndrome,25-34,35.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,35-44,65.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,45-54,159.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,55-64,283.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,65-74,360.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,75-84,222.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,85+,60.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,Not stated,0.0
Alabama,Respiratory diseases,Adult respiratory distress syndrome,All Ages,1191.0
Alabama,Respiratory diseases,Respiratory failure,0-24,13.0
Alabama,Respiratory diseases,Respiratory failure,25-34,93.0
Alabama,Respiratory diseases,Respiratory failure,35-44,267.0
Alabama,Respiratory diseases,Respiratory failure,45-54,703.0
Alabama,Respiratory diseases,Respiratory failure,55-64,1468.0
Alabama,Respiratory diseases,Respiratory failure,65-74,2295.0
Alabama,Respiratory diseases,Respiratory failure,75-84,2324.0
Alabama,Respiratory diseases,Respiratory failure,85+,1387.0
Alabama,Respiratory diseases,Respiratory failure,Not stated,0.0
Alabama,Respiratory diseases,Respiratory failure,All Ages,8550.0
Alabama,Respiratory diseases,Respiratory arrest,0-24,
Alabama,Respiratory diseases,Respiratory arrest,25-34,25.0
Alabama,Respiratory diseases,Respiratory arrest,35-44,82.0
Alabama,Respiratory diseases,Respiratory arrest,45-54,166.0
Alabama,Respiratory diseases,Respiratory arrest,55-64,389.0
Alabama,Respiratory diseases,Respiratory arrest,65-74,486.0
Alabama,Respiratory diseases,Respiratory arrest,75-84,430.0
Alabama,Respiratory diseases,Respiratory arrest,85+,281.0
Alabama,Respiratory diseases,Respiratory arrest,Not stated,0.0
Alabama,Respiratory diseases,Respiratory arrest,All Ages,1868.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,0-24,
Alabama,Respiratory diseases,Other diseases of the respiratory system,25-34,19.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,35-44,27.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,45-54,92.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,55-64,170.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,65-74,244.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,75-84,250.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,85+,152.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,Not stated,0.0
Alabama,Respiratory diseases,Other diseases of the respiratory system,All Ages,958.0
Alabama,Circulatory diseases,Hypertensive diseases,0-24,0.0
Alabama,Circulatory diseases,Hypertensive diseases,25-34,10.0
Alabama,Circulatory diseases,Hypertensive diseases,35-44,57.0
Alabama,Circulatory diseases,Hypertensive diseases,45-54,143.0
Alabama,Circulatory diseases,Hypertensive diseases,55-64,367.0
Alabama,Circulatory diseases,Hypertensive diseases,65-74,563.0
Alabama,Circulatory diseases,Hypertensive diseases,75-84,589.0
Alabama,Circulatory diseases,Hypertensive diseases,85+,580.0
Alabama,Circulatory diseases,Hypertensive diseases,Not stated,0.0
Alabama,Circulatory diseases,Hypertensive diseases,All Ages,2309.0
Alabama,Circulatory diseases,Ischemic heart disease,0-24,0.0
Alabama,Circulatory diseases,Ischemic heart disease,25-34,
Alabama,Circulatory diseases,Ischemic heart disease,35-44,14.0
Alabama,Circulatory diseases,Ischemic heart disease,45-54,62.0
Alabama,Circulatory diseases,Ischemic heart disease,55-64,229.0
Alabama,Circulatory diseases,Ischemic heart disease,65-74,485.0
Alabama,Circulatory diseases,Ischemic heart disease,75-84,564.0
Alabama,Circulatory diseases,Ischemic heart disease,85+,448.0
Alabama,Circulatory diseases,Ischemic heart disease,Not stated,0.0
Alabama,Circulatory diseases,Ischemic heart disease,All Ages,1808.0
Alabama,Circulatory diseases,Cardiac arrest,0-24,12.0
Alabama,Circulatory diseases,Cardiac arrest,25-34,55.0
Alabama,Circulatory diseases,Cardiac arrest,35-44,151.0
Alabama,Circulatory diseases,Cardiac arrest,45-54,319.0
Alabama,Circulatory diseases,Cardiac arrest,55-64,694.0
Alabama,Circulatory diseases,Cardiac arrest,65-74,878.0
Alabama,Circulatory diseases,Cardiac arrest,75-84,815.0
Alabama,Circulatory diseases,Cardiac arrest,85+,489.0
Alabama,Circulatory diseases,Cardiac arrest,Not stated,0.0
Alabama,Circulatory diseases,Cardiac arrest,All Ages,3413.0
Alabama,Circulatory diseases,Cardiac arrhythmia,0-24,
Alabama,Circulatory diseases,Cardiac arrhythmia,25-34,
Alabama,Circulatory diseases,Cardiac arrhythmia,35-44,25.0
Alabama,Circulatory diseases,Cardiac arrhythmia,45-54,68.0
Alabama,Circulatory diseases,Cardiac arrhythmia,55-64,183.0
Alabama,Circulatory diseases,Cardiac arrhythmia,65-74,350.0
