State,ConditionGroup,AgeGroup,COVID19Deaths
United States,Respiratory diseases,0-24,3793.0
United States,Respiratory diseases,25-34,13158.0
United States,Respiratory diseases,35-44,34207.0
United States,Respiratory diseases,45-54,86047.0
United States,Respiratory diseases,55-64,197059.0
United States,Respiratory diseases,65-74,315096.0
United States,Respiratory diseases,75-84,339037.0
United States,Respiratory diseases,85+,281505.0
United States,Respiratory diseases,Not stated,21.0
United States,Respiratory diseases,All Ages,1269923.0
United States,Circulatory diseases,0-24,1397.0
United States,Circulatory diseases,25-34,4892.0
United States,Circulatory diseases,35-44,14094.0
United States,Circulatory diseases,45-54,38453.0
United States,Circulatory diseases,55-64,98006.0
United States,Circulatory diseases,65-74,176411.0
United States,Circulatory diseases,75-84,229837.0
United States,Circulatory diseases,85+,258055.0
United States,Circulatory diseases,Not stated,16.0
United States,Circulatory diseases,All Ages,821161.0
United States,Sepsis,0-24,425.0
United States,Sepsis,25-34,1389.0
United States,Sepsis,35-44,3867.0
United States,Sepsis,45-54,9886.0
United States,Sepsis,55-64,22137.0
United States,Sepsis,65-74,32651.0
United States,Sepsis,75-84,29455.0
United States,Sepsis,85+,19188.0
United States,Sepsis,Not stated,2.0
United States,Sepsis,All Ages,119000.0
United States,Malignant neoplasms,0-24,175.0
United States,Malignant neoplasms,25-34,298.0
United States,Malignant neoplasms,35-44,896.0
United States,Malignant neoplasms,45-54,2859.0
United States,Malignant neoplasms,55-64,9900.0
United States,Malignant neoplasms,65-74,19889.0
United States,Malignant neoplasms,75-84,21947.0
United States,Malignant neoplasms,85+,15705.0
United States,Malignant neoplasms,Not stated,0.0
United States,Malignant neoplasms,All Ages,71669.0
United States,Diabetes,0-24,289.0
United States,Diabetes,25-34,1252.0
United States,Diabetes,35-44,4295.0
United States,Diabetes,45-54,12297.0
United States,Diabetes,55-64,28768.0
United States,Diabetes,65-74,45930.0
United States,Diabetes,75-84,45442.0
United States,Diabetes,85+,30553.0
United States,Diabetes,Not stated,4.0
United States,Diabetes,All Ages,168830.0
United States,Obesity,0-24,707.0
United States,Obesity,25-34,2865.0
United States,Obesity,35-44,5910.0
United States,Obesity,45-54,9878.0
United States,Obesity,55-64,13715.0
United States,Obesity,65-74,12516.0
United States,Obesity,75-84,6208.0
United States,Obesity,85+,1520.0
United States,Obesity,Not stated,2.0
United States,Obesity,All Ages,53321.0
United States,Alzheimer disease,0-24,0.0
United States,Alzheimer disease,25-34,2.0
United States,Alzheimer disease,35-44,3.0
United States,Alzheimer disease,45-54,36.0
United States,Alzheimer disease,55-64,321.0
United States,Alzheimer disease,65-74,2425.0
United States,Alzheimer disease,75-84,10476.0
United States,Alzheimer disease,85+,22114.0
United States,Alzheimer disease,Not stated,0.0
United States,Alzheimer disease,All Ages,35377.0
United States,Vascular and unspecified dementia,0-24,0.0
United States,Vascular and unspecified dementia,25-34,2.0
United States,Vascular and unspecified dementia,35-44,12.0
United States,Vascular and unspecified dementia,45-54,98.0
United States,Vascular and unspecified dementia,55-64,1218.0
United States,Vascular and unspecified dementia,65-74,7913.0
United States,Vascular and unspecified dementia,75-84,28162.0
United States,Vascular and unspecified dementia,85+,55710.0
United States,Vascular and unspecified dementia,Not stated,2.0
United States,Vascular and unspecified dementia,All Ages,93117.0
United States,Renal failure,0-24,273.0
United States,Renal failure,25-34,1204.0
United States,Renal failure,35-44,3392.0
United States,Renal failure,45-54,9191.0
United States,Renal failure,55-64,20667.0
United States,Renal failure,65-74,32952.0
United States,Renal failure,75-84,33928.0
United States,Renal failure,85+,28064.0
United States,Renal failure,Not stated,3.0
United States,Renal failure,All Ages,129674.0
United States,"Intentional and unintentional injury, and other adverse events",62202.0
