date,ageGroup,vaxxed
10/11/2022,<2 Years,0.052
10/10/2022,2 - 4 Years,0.08
10/10/2022,5 - 11 Years,0.386
10/11/2022,12 - 17 Years,0.711
10/10/2022,18 - 24 Years,0.805
10/11/2022,25 - 49 Years,0.84
10/10/2022,<2 Years,0.052
10/10/2022,12 - 17 Years,0.711
10/10/2022,25 - 49 Years,0.84
10/10/2022,50 - 64 Years,0.946
10/10/2022,65+ Years,0.95
10/09/2022,<2 Years,0.052
10/09/2022,2 - 4 Years,0.08
10/09/2022,5 - 11 Years,0.386
10/09/2022,12 - 17 Years,0.711
10/09/2022,18 - 24 Years,0.805
10/09/2022,25 - 49 Years,0.84
10/09/2022,50 - 64 Years,0.946
10/09/2022,65+ Years,0.95
10/08/2022,<2 Years,0.052
10/08/2022,2 - 4 Years,0.08
10/08/2022,5 - 11 Years,0.386
10/08/2022,12 - 17 Years,0.711
10/08/2022,18 - 24 Years,0.805
10/08/2022,25 - 49 Years,0.84
10/08/2022,50 - 64 Years,0.946
10/08/2022,65+ Years,0.95
10/07/2022,<2 Years,0.052
10/07/2022,2 - 4 Years,0.08
10/07/2022,5 - 11 Years,0.386
10/07/2022,12 - 17 Years,0.711
10/07/2022,18 - 24 Years,0.805
10/07/2022,25 - 49 Years,0.84
10/07/2022,50 - 64 Years,0.945
10/07/2022,65+ Years,0.95
10/06/2022,<2 Years,0.051
10/06/2022,2 - 4 Years,0.079
10/06/2022,5 - 11 Years,0.386
10/06/2022,12 - 17 Years,0.711
10/06/2022,18 - 24 Years,0.805
10/06/2022,25 - 49 Years,0.84
10/06/2022,50 - 64 Years,0.945
10/06/2022,65+ Years,0.95
10/05/2022,<2 Years,0.051
10/05/2022,2 - 4 Years,0.079
10/05/2022,5 - 11 Years,0.386
10/05/2022,12 - 17 Years,0.711
10/05/2022,18 - 24 Years,0.805
10/05/2022,25 - 49 Years,0.839
10/05/2022,50 - 64 Years,0.945
10/05/2022,65+ Years,0.95
10/04/2022,<2 Years,0.051
10/04/2022,2 - 4 Years,0.079
10/04/2022,5 - 11 Years,0.386
10/04/2022,12 - 17 Years,0.711
10/04/2022,18 - 24 Years,0.805
10/04/2022,25 - 49 Years,0.839
10/04/2022,50 - 64 Years,0.945
10/04/2022,65+ Years,0.95
10/03/2022,<2 Years,0.051
10/03/2022,2 - 4 Years,0.079
10/03/2022,5 - 11 Years,0.386
10/03/2022,12 - 17 Years,0.711
10/03/2022,18 - 24 Years,0.805
10/03/2022,25 - 49 Years,0.839
10/03/2022,50 - 64 Years,0.945
10/03/2022,65+ Years,0.95
10/02/2022,<2 Years,0.05
10/02/2022,2 - 4 Years,0.078
10/02/2022,5 - 11 Years,0.386
10/02/2022,12 - 17 Years,0.711
10/02/2022,18 - 24 Years,0.804
10/02/2022,25 - 49 Years,0.839
10/02/2022,50 - 64 Years,0.945
10/02/2022,65+ Years,0.95
10/01/2022,<2 Years,0.05
10/01/2022,2 - 4 Years,0.078
10/01/2022,5 - 11 Years,0.386
10/01/2022,12 - 17 Years,0.711
10/01/2022,18 - 24 Years,0.804
10/01/2022,25 - 49 Years,0.839
10/01/2022,50 - 64 Years,0.945
10/01/2022,65+ Years,0.95
09/30/2022,<2 Years,0.05
09/30/2022,2 - 4 Years,0.078
09/30/2022,5 - 11 Years,0.386
09/30/2022,12 - 17 Years,0.711
09/30/2022,18 - 24 Years,0.804
09/30/2022,25 - 49 Years,0.839
09/30/2022,50 - 64 Years,0.945
09/30/2022,65+ Years,0.95
09/29/2022,<2 Years,0.05
09/29/2022,2 - 4 Years,0.078
09/29/2022,5 - 11 Years,0.386
09/29/2022,12 - 17 Years,0.711
09/29/2022,18 - 24 Years,0.804
09/29/2022,25 - 49 Years,0.839
09/29/2022,50 - 64 Years,0.944
09/29/2022,65+ Years,0.95
09/28/2022,<2 Years,0.049
09/28/2022,2 - 4 Years,0.077
09/28/2022,5 - 11 Years,0.385
09/28/2022,12 - 17 Years,0.71
09/28/2022,18 - 24 Years,0.804
09/28/2022,25 - 49 Years,0.839
09/28/2022,50 - 64 Years,0.944
09/28/2022,65+ Years,0.95
09/27/2022,<2 Years,0.049
09/27/2022,2 - 4 Years,0.077
09/27/2022,5 - 11 Years,0.385
09/27/2022,12 - 17 Years,0.71
09/27/2022,18 - 24 Years,0.804
09/27/2022,25 - 49 Years,0.838
09/27/2022,50 - 64 Years,0.944
09/27/2022,65+ Years,0.95
09/26/2022,<2 Years,0.049
09/26/2022,2 - 4 Years,0.077
09/26/2022,5 - 11 Years,0.385
09/26/2022,12 - 17 Years,0.71
09/26/2022,18 - 24 Years,0.804
09/26/2022,25 - 49 Years,0.838
09/26/2022,50 - 64 Years,0.944
09/26/2022,65+ Years,0.95
09/25/2022,<2 Years,0.048
09/25/2022,2 - 4 Years,0.076
09/25/2022,5 - 11 Years,0.385
09/25/2022,12 - 17 Years,0.71
09/25/2022,18 - 24 Years,0.803
09/25/2022,25 - 49 Years,0.838
09/25/2022,50 - 64 Years,0.944
09/25/2022,65+ Years,0.95
09/24/2022,<2 Years,0.048
09/24/2022,2 - 4 Years,0.076
09/24/2022,5 - 11 Years,0.385
09/24/2022,12 - 17 Years,0.71
09/24/2022,18 - 24 Years,0.803
09/24/2022,25 - 49 Years,0.838
09/24/2022,50 - 64 Years,0.944
09/24/2022,65+ Years,0.95
09/23/2022,<2 Years,0.048
09/23/2022,2 - 4 Years,0.076
09/23/2022,5 - 11 Years,0.385
09/23/2022,12 - 17 Years,0.71
09/23/2022,18 - 24 Years,0.803
09/23/2022,25 - 49 Years,0.838
09/23/2022,50 - 64 Years,0.944
09/23/2022,65+ Years,0.95
09/22/2022,<2 Years,0.048
09/22/2022,2 - 4 Years,0.076
09/22/2022,5 - 11 Years,0.385
09/22/2022,12 - 17 Years,0.71
09/22/2022,18 - 24 Years,0.803
09/22/2022,25 - 49 Years,0.838
09/22/2022,50 - 64 Years,0.943
09/22/2022,65+ Years,0.95
09/21/2022,<2 Years,0.048
09/21/2022,2 - 4 Years,0.075
09/21/2022,5 - 11 Years,0.385
09/21/2022,12 - 17 Years,0.71
09/21/2022,18 - 24 Years,0.803
09/21/2022,25 - 49 Years,0.837
09/21/2022,50 - 64 Years,0.943
09/21/2022,65+ Years,0.95
09/20/2022,<2 Years,0.047
09/20/2022,2 - 4 Years,0.075
09/20/2022,5 - 11 Years,0.385
09/20/2022,12 - 17 Years,0.71
09/20/2022,18 - 24 Years,0.803
09/20/2022,25 - 49 Years,0.837
09/20/2022,50 - 64 Years,0.943
09/20/2022,65+ Years,0.95
09/19/2022,<2 Years,0.047
09/19/2022,2 - 4 Years,0.074
09/19/2022,5 - 11 Years,0.385
09/19/2022,12 - 17 Years,0.71
09/19/2022,18 - 24 Years,0.803
09/19/2022,25 - 49 Years,0.837
09/19/2022,50 - 64 Years,0.943
09/19/2022,65+ Years,0.95
09/18/2022,<2 Years,0.046
09/18/2022,2 - 4 Years,0.074
09/18/2022,5 - 11 Years,0.384
09/18/2022,12 - 17 Years,0.71
09/18/2022,18 - 24 Years,0.802
09/18/2022,25 - 49 Years,0.837
09/18/2022,50 - 64 Years,0.943
09/18/2022,65+ Years,0.95
09/17/2022,<2 Years,0.046
09/17/2022,2 - 4 Years,0.074
09/17/2022,5 - 11 Years,0.384
09/17/2022,12 - 17 Years,0.71
09/17/2022,18 - 24 Years,0.802
09/17/2022,25 - 49 Years,0.837
09/17/2022,50 - 64 Years,0.943
09/17/2022,65+ Years,0.95
